,fruit,diameter,weight,hue
1,orange,2.214591347,96.90435343,29.29411765
2,orange,4.328257494,78.50721465,27.60736196
3,orange,4.996701769,97.69705979,30.77922078
4,orange,4.572873317,61.15697059,29.05660377
5,orange,3.612684907,103.9690478,24.86842105
6,orange,6.560839814,107.1479429,42
7,orange,2.748817583,104.2594017,32.33766234
8,orange,3.559709867,109.6483164,30.85714286
9,orange,4.332987948,100.9843801,31.04895105
10,orange,5.601991506,108.8765886,27.09677419
11,orange,6.262444749,102.5606924,35.34246575
12,orange,6.155588601,115.1896636,24.51219512
13,orange,6.167529082,103.4477956,33.33333333
14,orange,6.043770717,96.13624506,30
15,orange,3.688505494,99.68592723,28.57142857
16,orange,3.343618606,101.2496071,30
17,orange,6.011349619,104.1467309,27.20496894
18,orange,4.168984187,99.04698986,31.00671141
19,orange,4.292251117,92.55867893,23.42465753
20,orange,5.853412787,96.93428036,24.06779661
21,orange,5.865660571,94.29364104,28.875
22,orange,5.617119741,83.87345696,35.84415584
23,orange,3.623727584,90.986896,30.17964072
24,orange,4.092822508,85.46609078,34.16666667
25,orange,6.318829982,107.9484145,32.83783784
26,orange,5.38142336,97.05745242,28.91566265
27,orange,4.916110375,114.196964,28.875
28,orange,3.553890717,106.8210065,25.82781457
29,orange,8.705195004,106.1409182,34.96688742
30,orange,6.244805853,98.70263447,29.57746479
31,orange,4.307116112,82.00886479,35.43624161
32,orange,3.95391097,103.942461,35.68627451
33,orange,5.369738557,120.7607095,28.40236686
34,orange,6.307908752,136.9296672,29.17808219
35,orange,4.907715445,107.1118203,34.125
36,orange,3.401030318,117.4229901,33.56643357
37,orange,6.786822402,107.9335023,25.41176471
38,orange,6.193629571,96.53869202,36.53846154
39,orange,3.902359051,103.4004688,30.75
40,orange,5.262451378,94.69718244,29.8245614
41,orange,7.694727445,117.8092111,25.37142857
42,orange,6.267381351,81.1228764,21.08108108
43,orange,6.58682105,108.1508678,32.90322581
44,orange,5.061405582,105.6322285,32.46575342
45,orange,4.648774351,112.0484587,37.16129032
46,orange,3.724983838,128.2334119,26.92913386
47,orange,6.776638088,122.581972,33
48,orange,3.187240116,104.4361663,26.79245283
49,orange,8.039776605,121.362705,22.5477707
50,orange,3.087911896,113.6855337,29.16666667
51,orange,4.588907542,129.191214,30.9202454
52,orange,5.788418741,109.6392201,40.16129032
53,orange,1.392277919,132.1055657,26.74285714
54,orange,5.378854886,107.9233221,38.48275862
55,orange,4.336394919,104.5134757,30.75949367
